city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands,status,lastUpdate,date
ירושלים,16526,3690,1317,14503,40,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
בני ברק,9292,1252,499,3631,62,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
מודיעין עילית,3207,1011,420,2249,131,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
רהט,815,271,142,987,40,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
כפר קאסם,491,206,118,563,86,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
טירה,395,196,138,746,74,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
עילוט,208,193,78,345,229,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
ג'דיידה-מכר,140,105,79,539,51,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
בית ג'ן,94,64,45,331,54,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
כפר ברא,92,62,42,143,163,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
חריש,130,61,47,215,42,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
דאלית אל-כרמל,49,36,32,166,21,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
תפרח,60,27,26,71,124,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
עספיא,37, קטן מ-15 ,11-14,117,11,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
עוזייר, קטן מ-15 , קטן מ-15 ,11-14,35,40,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
כפר תבור,25, קטן מ-15 ,6-10,63,23,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
שייח' דנון, קטן מ-15 , קטן מ-15 ,6-10,85,38,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
גבעת ברנר,15, קטן מ-15 ,6-10,26,43,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
תל אביב - יפו,4554,977,262,5647,21,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
אשדוד,3299,657,279,3137,29,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
נתניה,1748,519,231,3696,24,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
בית שמש,2646,368,125,1176,29,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
אלעד,1708,223,93,626,47,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
נתיבות,652,222,86,541,58,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
ביתר עילית,2189,198,55,455,32,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
אום אל-פחם,554,194,112,804,35,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
אור יהודה,722,167,97,846,48,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
סח'נין,242,165,102,1109,50,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
מעלה עירון,150,91,45,342,60,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
עין נקובא,114,87,35,369,249,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
מג'ד אל-כרום,113,64,41,488,41,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
ג'ת,203,58,39,262,48,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
נחף,124,47,22,162,35,נדרשת הגדלה של מספר הבדיקות,2020-08-20T15:31:52.293Z,2020-08-20T15:31:52.293Z
