date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,lastUpdate
2020-03-02T00:00:00.000Z,1,11,11,0,0,11,0,0,1236,0.00889967637540453,5632,-168,0,2020-08-24T15:46:46.347Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1236,0.008090614886731391,7857,-165,0,2020-08-24T15:46:46.347Z
2020-03-04T00:00:00.000Z,0,12,11,0,0,12,0,0,1236,0.009708737864077669,7012,-167,0,2020-08-24T15:46:46.347Z
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1236,0.01051779935275081,7012,-167,0,2020-08-24T15:46:46.347Z
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1236,0.01294498381877023,5177,-166,0,2020-08-24T15:46:46.347Z
2020-03-07T00:00:00.000Z,1,20,20,3,0,17,2,0,1236,0.01618122977346278,4861,-166,0,2020-08-24T15:46:46.347Z
2020-03-08T00:00:00.000Z,2,26,26,5,0,21,4,0,1236,0.02103559870550162,7330,-163,0,2020-08-24T15:46:46.347Z
2020-03-09T00:00:00.000Z,7,39,39,6,0,33,5,0,1236,0.03155339805825243,6205,-172,0,2020-08-24T15:46:46.347Z
2020-03-10T00:00:00.000Z,2,59,59,6,0,53,5,0,1236,0.04773462783171521,6021,-159,0,2020-08-24T15:46:46.347Z
2020-03-11T00:00:00.000Z,10,81,81,7,1,73,6,0,1236,0.06553398058252427,5981,-161,0,2020-08-24T15:46:46.347Z
2020-03-12T00:00:00.000Z,6,103,101,7,1,95,6,0,1236,0.08333333333333333,5983,-160,0,2020-08-24T15:46:46.347Z
2020-03-13T00:00:00.000Z,10,123,122,7,4,112,6,0,1236,0.09951456310679611,4121,-146,0,2020-08-24T15:46:46.347Z
2020-03-14T00:00:00.000Z,20,162,161,6,4,152,4,0,1236,0.1310679611650485,3692,-156,0,2020-08-24T15:46:46.347Z
2020-03-15T00:00:00.000Z,37,202,200,9,6,187,6,0,1236,0.1634304207119741,5490,-157,0,2020-08-24T15:46:46.347Z
2020-03-16T00:00:00.000Z,27,221,215,11,5,205,7,0,1236,0.1788025889967638,4759,-99,0,2020-08-24T15:46:46.347Z
