date,amount,recovered,lastUpdate
2020-02-12T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-13T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-14T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-15T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-16T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-17T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-18T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-19T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-20T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-21T00:00:00.000Z,1,0,2020-09-09T07:10:04.400Z
2020-02-22T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-23T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-24T00:00:00.000Z,1,0,2020-09-09T07:10:04.400Z
2020-02-25T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-26T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-02-27T00:00:00.000Z,1,0,2020-09-09T07:10:04.400Z
2020-02-28T00:00:00.000Z,3,0,2020-09-09T07:10:04.400Z
2020-02-29T00:00:00.000Z,0,0,2020-09-09T07:10:04.400Z
2020-03-01T00:00:00.000Z,1,0,2020-09-09T07:10:04.400Z
2020-03-02T00:00:00.000Z,5,0,2020-09-09T07:10:04.400Z
2020-03-03T00:00:00.000Z,3,1,2020-09-09T07:10:04.400Z
2020-03-04T00:00:00.000Z,0,1,2020-09-09T07:10:04.400Z
2020-03-05T00:00:00.000Z,2,0,2020-09-09T07:10:04.400Z
2020-03-06T00:00:00.000Z,4,0,2020-09-09T07:10:04.400Z
2020-03-07T00:00:00.000Z,4,0,2020-09-09T07:10:04.400Z
2020-03-08T00:00:00.000Z,9,1,2020-09-09T07:10:04.400Z
2020-03-09T00:00:00.000Z,4,0,2020-09-09T07:10:04.400Z
2020-03-10T00:00:00.000Z,33,0,2020-09-09T07:10:04.400Z
2020-03-11T00:00:00.000Z,20,0,2020-09-09T07:10:04.400Z
2020-03-12T00:00:00.000Z,21,0,2020-09-09T07:10:04.400Z
2020-03-13T00:00:00.000Z,36,1,2020-09-09T07:10:04.400Z
2020-03-14T00:00:00.000Z,29,0,2020-09-09T07:10:04.400Z
2020-03-15T00:00:00.000Z,38,0,2020-09-09T07:10:04.400Z
2020-03-16T00:00:00.000Z,73,0,2020-09-09T07:10:04.400Z
2020-03-17T00:00:00.000Z,94,4,2020-09-09T07:10:04.400Z
2020-03-18T00:00:00.000Z,118,5,2020-09-09T07:10:04.400Z
2020-03-19T00:00:00.000Z,136,10,2020-09-09T07:10:04.400Z
2020-03-20T00:00:00.000Z,168,5,2020-09-09T07:10:04.400Z
2020-03-21T00:00:00.000Z,210,4,2020-09-09T07:10:04.400Z
2020-03-22T00:00:00.000Z,254,8,2020-09-09T07:10:04.400Z
2020-03-23T00:00:00.000Z,352,13,2020-09-09T07:10:04.400Z
2020-03-24T00:00:00.000Z,423,8,2020-09-09T07:10:04.400Z
2020-03-25T00:00:00.000Z,425,12,2020-09-09T07:10:04.400Z
2020-03-26T00:00:00.000Z,520,18,2020-09-09T07:10:04.400Z
2020-03-27T00:00:00.000Z,434,11,2020-09-09T07:10:04.400Z
2020-03-28T00:00:00.000Z,480,24,2020-09-09T07:10:04.400Z
2020-03-29T00:00:00.000Z,532,35,2020-09-09T07:10:04.400Z
2020-03-30T00:00:00.000Z,546,37,2020-09-09T07:10:04.400Z
2020-03-31T00:00:00.000Z,738,68,2020-09-09T07:10:04.400Z
2020-04-01T00:00:00.000Z,709,291,2020-09-09T07:10:04.400Z
2020-04-02T00:00:00.000Z,719,97,2020-09-09T07:10:04.400Z
2020-04-03T00:00:00.000Z,597,94,2020-09-09T07:10:04.400Z
2020-04-04T00:00:00.000Z,427,59,2020-09-09T07:10:04.400Z
2020-04-05T00:00:00.000Z,583,106,2020-09-09T07:10:04.400Z
2020-04-06T00:00:00.000Z,451,107,2020-09-09T07:10:04.400Z
2020-04-07T00:00:00.000Z,378,143,2020-09-09T07:10:04.400Z
2020-04-08T00:00:00.000Z,338,154,2020-09-09T07:10:04.400Z
2020-04-09T00:00:00.000Z,343,117,2020-09-09T07:10:04.400Z
2020-04-10T00:00:00.000Z,359,206,2020-09-09T07:10:04.400Z
2020-04-11T00:00:00.000Z,345,178,2020-09-09T07:10:04.400Z
2020-04-12T00:00:00.000Z,554,370,2020-09-09T07:10:04.400Z
2020-04-13T00:00:00.000Z,438,329,2020-09-09T07:10:04.400Z
2020-04-14T00:00:00.000Z,399,382,2020-09-09T07:10:04.400Z
2020-04-15T00:00:00.000Z,311,311,2020-09-09T07:10:04.400Z
2020-04-16T00:00:00.000Z,296,369,2020-09-09T07:10:04.400Z
2020-04-17T00:00:00.000Z,298,388,2020-09-09T07:10:04.400Z
2020-04-18T00:00:00.000Z,291,388,2020-09-09T07:10:04.400Z
2020-04-19T00:00:00.000Z,277,318,2020-09-09T07:10:04.400Z
2020-04-20T00:00:00.000Z,299,543,2020-09-09T07:10:04.400Z
2020-04-21T00:00:00.000Z,283,470,2020-09-09T07:10:04.400Z
2020-04-22T00:00:00.000Z,226,368,2020-09-09T07:10:04.400Z
2020-04-23T00:00:00.000Z,276,386,2020-09-09T07:10:04.400Z
2020-04-24T00:00:00.000Z,248,512,2020-09-09T07:10:04.400Z
2020-04-25T00:00:00.000Z,159,430,2020-09-09T07:10:04.400Z
2020-04-26T00:00:00.000Z,83,243,2020-09-09T07:10:04.400Z
2020-04-27T00:00:00.000Z,127,557,2020-09-09T07:10:04.400Z
2020-04-28T00:00:00.000Z,160,494,2020-09-09T07:10:04.400Z
2020-04-29T00:00:00.000Z,82,437,2020-09-09T07:10:04.400Z
2020-04-30T00:00:00.000Z,142,409,2020-09-09T07:10:04.400Z
2020-05-01T00:00:00.000Z,117,643,2020-09-09T07:10:04.400Z
2020-05-02T00:00:00.000Z,57,260,2020-09-09T07:10:04.400Z
2020-05-03T00:00:00.000Z,27,158,2020-09-09T07:10:04.400Z
2020-05-04T00:00:00.000Z,53,359,2020-09-09T07:10:04.400Z
2020-05-05T00:00:00.000Z,32,350,2020-09-09T07:10:04.400Z
2020-05-06T00:00:00.000Z,65,208,2020-09-09T07:10:04.400Z
2020-05-07T00:00:00.000Z,61,267,2020-09-09T07:10:04.400Z
