section,male,female,lastUpdate,date
0,0,0,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
10,1,0,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
20,0,1,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
30,0,0,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
40,8,2,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
50,16,7,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
60,23,8,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
70,29,19,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
80,5,6,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
90,2,3,2020-11-11T16:21:43.387Z,2020-11-11T16:21:43.387Z
