section,male,female,lastUpdate,date
0,17488,16705,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
10,39280,28207,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
20,33607,30589,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
30,22450,22152,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
40,19626,20742,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
50,15247,15783,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
60,11098,9853,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
70,5468,4994,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
80,2348,2954,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
90,562,1290,2020-11-16T08:02:37.583Z,2020-11-16T08:02:37.583Z
