amount,lastUpdate
0,2020-12-01T20:00:40.077Z
0,2020-12-01T20:00:40.077Z
0,2020-12-01T20:00:40.077Z
1,2020-12-01T20:00:40.077Z
2,2020-12-01T20:00:40.077Z
3,2020-12-01T20:00:40.077Z
5,2020-12-01T20:00:40.077Z
5,2020-12-01T20:00:40.077Z
6,2020-12-01T20:00:40.077Z
7,2020-12-01T20:00:40.077Z
7,2020-12-01T20:00:40.077Z
7,2020-12-01T20:00:40.077Z
6,2020-12-01T20:00:40.077Z
9,2020-12-01T20:00:40.077Z
11,2020-12-01T20:00:40.077Z
12,2020-12-01T20:00:40.077Z
16,2020-12-01T20:00:40.077Z
21,2020-12-01T20:00:40.077Z
23,2020-12-01T20:00:40.077Z
27,2020-12-01T20:00:40.077Z
38,2020-12-01T20:00:40.077Z
44,2020-12-01T20:00:40.077Z
48,2020-12-01T20:00:40.077Z
52,2020-12-01T20:00:40.077Z
56,2020-12-01T20:00:40.077Z
66,2020-12-01T20:00:40.077Z
70,2020-12-01T20:00:40.077Z
80,2020-12-01T20:00:40.077Z
89,2020-12-01T20:00:40.077Z
98,2020-12-01T20:00:40.077Z
111,2020-12-01T20:00:40.077Z
113,2020-12-01T20:00:40.077Z
131,2020-12-01T20:00:40.077Z
140,2020-12-01T20:00:40.077Z
135,2020-12-01T20:00:40.077Z
147,2020-12-01T20:00:40.077Z
160,2020-12-01T20:00:40.077Z
166,2020-12-01T20:00:40.077Z
166,2020-12-01T20:00:40.077Z
170,2020-12-01T20:00:40.077Z
182,2020-12-01T20:00:40.077Z
177,2020-12-01T20:00:40.077Z
192,2020-12-01T20:00:40.077Z
178,2020-12-01T20:00:40.077Z
179,2020-12-01T20:00:40.077Z
182,2020-12-01T20:00:40.077Z
165,2020-12-01T20:00:40.077Z
174,2020-12-01T20:00:40.077Z
157,2020-12-01T20:00:40.077Z
154,2020-12-01T20:00:40.077Z
145,2020-12-01T20:00:40.077Z
149,2020-12-01T20:00:40.077Z
146,2020-12-01T20:00:40.077Z
144,2020-12-01T20:00:40.077Z
136,2020-12-01T20:00:40.077Z
142,2020-12-01T20:00:40.077Z
132,2020-12-01T20:00:40.077Z
127,2020-12-01T20:00:40.077Z
122,2020-12-01T20:00:40.077Z
112,2020-12-01T20:00:40.077Z
109,2020-12-01T20:00:40.077Z
111,2020-12-01T20:00:40.077Z
101,2020-12-01T20:00:40.077Z
97,2020-12-01T20:00:40.077Z
91,2020-12-01T20:00:40.077Z
88,2020-12-01T20:00:40.077Z
84,2020-12-01T20:00:40.077Z
78,2020-12-01T20:00:40.077Z
78,2020-12-01T20:00:40.077Z
74,2020-12-01T20:00:40.077Z
69,2020-12-01T20:00:40.077Z
65,2020-12-01T20:00:40.077Z
61,2020-12-01T20:00:40.077Z
61,2020-12-01T20:00:40.077Z
61,2020-12-01T20:00:40.077Z
60,2020-12-01T20:00:40.077Z
55,2020-12-01T20:00:40.077Z
52,2020-12-01T20:00:40.077Z
51,2020-12-01T20:00:40.077Z
46,2020-12-01T20:00:40.077Z
47,2020-12-01T20:00:40.077Z
46,2020-12-01T20:00:40.077Z
