section,male,female,lastUpdate,date
0,1,0,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
10,1,1,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
20,4,0,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
30,6,7,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
40,26,20,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
50,65,27,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
60,137,63,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
70,123,92,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
80,86,71,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
90,26,22,2021-01-04T08:07:45.310Z,2021-01-04T08:07:45.310Z
