section,male,female,lastUpdate,date
0,2,1,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
10,2,2,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
20,6,9,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
30,14,8,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
40,26,25,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
50,137,64,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
60,371,155,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
70,662,322,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
80,739,622,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
90,344,467,2021-01-17T07:18:53.633Z,2021-01-17T07:18:53.633Z
