city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands,lastUpdate,date
ירושלים,108437,11890,6440,54007,125,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
בני ברק,42854,4342,2460,15050,212,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
מודיעין עילית,22104,2810,1648,9460,354,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
פתח תקווה,16855,2343,1477,18165,95,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
תל אביב - יפו,19754,2237,1356,24536,49,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
בית שמש,17169,2183,1276,8833,163,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אשדוד,20774,2002,1266,15888,89,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
ראשון לציון,10656,1368,896,14974,56,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
חיפה,13304,1286,759,15128,47,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
חולון,10823,1273,875,11918,68,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נתניה,12199,1253,750,11668,58,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רחובות,8594,1139,704,8703,81,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
באר שבע,10691,1095,694,13029,55,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רמלה,6857,1080,708,5992,141,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
ביתר עילית,11609,996,564,3014,156,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אלעד,10223,945,561,3226,197,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אשקלון,7893,933,593,9374,65,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית גת,5263,898,532,5400,152,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
לוד,6402,877,541,5297,110,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רמת גן,6151,857,525,9121,57,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
בת ים,6795,849,510,7326,66,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נתיבות,4969,821,587,3863,204,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
צפת,3431,684,433,2856,189,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אופקים,3077,623,436,3962,186,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית אתא,3503,614,380,4793,106,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נצרת,7280,613,275,2577,78,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
ראש העין,4122,501,321,4727,77,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אור יהודה,3299,487,280,2987,141,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
חדרה,4901,473,275,5033,49,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
גבעת זאב,3195,471,267,1627,238,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
מודיעין-מכבים-רעות,3993,450,325,5742,51,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית מלאכי,2776,408,249,2293,163,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
יבנה,3244,398,252,3131,82,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
מעלה אדומים,3013,380,235,3321,102,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
טבריה,3423,338,199,2888,74,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
כפר סבא,3228,334,198,4604,34,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
עכו,3054,312,206,2857,61,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
הרצליה,3254,310,175,5012,33,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רכסים,2672,298,171,1054,231,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רעננה,3157,298,155,4055,39,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נהריה,2611,286,165,3208,47,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
הוד השרון,2117,277,199,3460,45,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נס ציונה,1866,263,153,3210,57,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
שדרות,1902,255,184,1938,90,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
שפרעם,3498,254,136,1761,61,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
כרמיאל,2078,253,153,2671,55,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אילת,1605,248,190,3474,44,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
סח'נין,3887,234,142,1316,70,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
זכרון יעקב,1100,226,141,1445,100,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
עפולה,2835,222,137,2828,40,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
אום אל-פחם,4655,220,138,1341,39,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
דימונה,1662,216,133,2378,60,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
גדרה,1329,210,156,2148,83,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
נוף הגליל,2154,208,114,1864,47,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית מוצקין,1859,206,140,2562,45,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
בית ג'ן,1546,203,151,1007,168,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
באר יעקב,1704,202,137,1953,75,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
עראבה,1756,200,141,1079,75,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
פרדס חנה-כרכור,1704,199,137,2611,47,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
יהוד,1574,197,112,2166,68,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
טמרה,3440,189,116,1025,54,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית ים,1779,187,119,2408,48,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
"כפר חב""ד",1026,174,108,923,249,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
קרית אונו,1384,171,103,2284,45,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
כוכב יעקב,1607,171,92,764,185,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
רמת השרון,1562,171,106,2645,38,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
טייבה,3318,168,108,1278,38,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
גבעת שמואל,1431,167,108,2007,65,2021-02-02T18:56:11.590Z,2021-02-02T18:56:11.590Z
