date,amount,recovered,avg,sum,lastUpdate
2020-02-12T00:00:00.000Z,0,0,7,7,2021-04-20T05:54:50.073Z
2020-02-13T00:00:00.000Z,0,0,3,7,2021-04-20T05:54:50.073Z
2020-02-14T00:00:00.000Z,0,0,2,7,2021-04-20T05:54:50.073Z
2020-02-15T00:00:00.000Z,0,0,1,7,2021-04-20T05:54:50.073Z
2020-02-16T00:00:00.000Z,0,0,1,7,2021-04-20T05:54:50.073Z
2020-02-17T00:00:00.000Z,0,0,1,7,2021-04-20T05:54:50.073Z
2020-02-18T00:00:00.000Z,0,0,1,7,2021-04-20T05:54:50.073Z
2020-02-19T00:00:00.000Z,0,0,0,7,2021-04-20T05:54:50.073Z
2020-02-20T00:00:00.000Z,0,0,0,7,2021-04-20T05:54:50.073Z
2020-02-21T00:00:00.000Z,1,0,0,8,2021-04-20T05:54:50.073Z
2020-02-22T00:00:00.000Z,0,0,0,8,2021-04-20T05:54:50.073Z
2020-02-23T00:00:00.000Z,0,0,0,8,2021-04-20T05:54:50.073Z
2020-02-24T00:00:00.000Z,1,0,0,9,2021-04-20T05:54:50.073Z
2020-02-25T00:00:00.000Z,0,0,0,9,2021-04-20T05:54:50.073Z
2020-02-26T00:00:00.000Z,0,0,0,9,2021-04-20T05:54:50.073Z
2020-02-27T00:00:00.000Z,1,0,0,10,2021-04-20T05:54:50.073Z
2020-02-28T00:00:00.000Z,3,0,0,13,2021-04-20T05:54:50.073Z
2020-02-29T00:00:00.000Z,0,0,0,13,2021-04-20T05:54:50.073Z
2020-03-01T00:00:00.000Z,1,0,0,14,2021-04-20T05:54:50.073Z
2020-03-02T00:00:00.000Z,5,0,0,19,2021-04-20T05:54:50.073Z
2020-03-03T00:00:00.000Z,3,0,1,22,2021-04-20T05:54:50.073Z
2020-03-04T00:00:00.000Z,0,0,1,22,2021-04-20T05:54:50.073Z
2020-03-05T00:00:00.000Z,2,0,1,24,2021-04-20T05:54:50.073Z
2020-03-06T00:00:00.000Z,4,0,2,28,2021-04-20T05:54:50.073Z
2020-03-07T00:00:00.000Z,4,0,2,32,2021-04-20T05:54:50.073Z
2020-03-08T00:00:00.000Z,9,0,2,41,2021-04-20T05:54:50.073Z
2020-03-09T00:00:00.000Z,4,0,3,45,2021-04-20T05:54:50.073Z
2020-03-10T00:00:00.000Z,33,0,3,78,2021-04-20T05:54:50.073Z
2020-03-11T00:00:00.000Z,19,0,8,97,2021-04-20T05:54:50.073Z
2020-03-12T00:00:00.000Z,22,0,10,119,2021-04-20T05:54:50.073Z
2020-03-13T00:00:00.000Z,35,1,13,154,2021-04-20T05:54:50.073Z
2020-03-14T00:00:00.000Z,29,0,18,183,2021-04-20T05:54:50.073Z
2020-03-15T00:00:00.000Z,39,0,21,222,2021-04-20T05:54:50.073Z
2020-03-16T00:00:00.000Z,73,0,25,295,2021-04-20T05:54:50.073Z
2020-03-17T00:00:00.000Z,94,2,35,389,2021-04-20T05:54:50.073Z
2020-03-18T00:00:00.000Z,125,2,44,514,2021-04-20T05:54:50.073Z
2020-03-19T00:00:00.000Z,136,4,59,650,2021-04-20T05:54:50.073Z
2020-03-20T00:00:00.000Z,168,1,75,818,2021-04-20T05:54:50.073Z
2020-03-21T00:00:00.000Z,210,1,94,1028,2021-04-20T05:54:50.073Z
2020-03-22T00:00:00.000Z,254,4,120,1282,2021-04-20T05:54:50.073Z
2020-03-23T00:00:00.000Z,352,6,151,1634,2021-04-20T05:54:50.073Z
2020-03-24T00:00:00.000Z,423,5,191,2057,2021-04-20T05:54:50.073Z
2020-03-25T00:00:00.000Z,425,6,238,2482,2021-04-20T05:54:50.073Z
2020-03-26T00:00:00.000Z,520,10,281,3002,2021-04-20T05:54:50.073Z
2020-03-27T00:00:00.000Z,434,18,336,3436,2021-04-20T05:54:50.073Z
2020-03-28T00:00:00.000Z,479,9,374,3915,2021-04-20T05:54:50.073Z
2020-03-29T00:00:00.000Z,531,15,412,4446,2021-04-20T05:54:50.073Z
2020-03-30T00:00:00.000Z,548,33,452,4994,2021-04-20T05:54:50.073Z
2020-03-31T00:00:00.000Z,738,43,480,5732,2021-04-20T05:54:50.073Z
2020-04-01T00:00:00.000Z,703,283,525,6428,2021-04-20T05:54:50.073Z
2020-04-02T00:00:00.000Z,719,80,563,7147,2021-04-20T05:54:50.073Z
2020-04-03T00:00:00.000Z,598,56,592,7745,2021-04-20T05:54:50.073Z
2020-04-04T00:00:00.000Z,429,53,615,8174,2021-04-20T05:54:50.073Z
2020-04-05T00:00:00.000Z,583,103,608,8757,2021-04-20T05:54:50.073Z
2020-04-06T00:00:00.000Z,450,121,615,9207,2021-04-20T05:54:50.073Z
2020-04-07T00:00:00.000Z,377,122,601,9584,2021-04-20T05:54:50.073Z
2020-04-08T00:00:00.000Z,339,108,550,9923,2021-04-20T05:54:50.073Z
2020-04-09T00:00:00.000Z,343,113,499,10266,2021-04-20T05:54:50.073Z
2020-04-10T00:00:00.000Z,359,130,445,10625,2021-04-20T05:54:50.073Z
