date,amount,total,lastUpdate
2020-03-02T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-03T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-04T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-05T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-06T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-07T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-08T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-09T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-10T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-11T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-12T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-13T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-14T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-15T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-16T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-17T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-18T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-19T00:00:00.000Z,0,0,2021-04-25T06:14:11.900Z
2020-03-20T00:00:00.000Z,1,1,2021-04-25T06:14:11.900Z
2020-03-21T00:00:00.000Z,0,1,2021-04-25T06:14:11.900Z
2020-03-22T00:00:00.000Z,0,1,2021-04-25T06:14:11.900Z
2020-03-23T00:00:00.000Z,0,1,2021-04-25T06:14:11.900Z
2020-03-24T00:00:00.000Z,3,4,2021-04-25T06:14:11.900Z
2020-03-25T00:00:00.000Z,1,5,2021-04-25T06:14:11.900Z
2020-03-26T00:00:00.000Z,5,10,2021-04-25T06:14:11.900Z
2020-03-27T00:00:00.000Z,2,12,2021-04-25T06:14:11.900Z
2020-03-28T00:00:00.000Z,1,13,2021-04-25T06:14:11.900Z
2020-03-29T00:00:00.000Z,3,16,2021-04-25T06:14:11.900Z
2020-03-30T00:00:00.000Z,1,17,2021-04-25T06:14:11.900Z
