date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
3/1/2020,607,5699,126,1153
3/2/2020,606,6001,15>,499
3/3/2020,927,6179,326,453
3/4/2020,1812,7526,887,1678
3/5/2020,2198,11963,388,4879
3/6/2020,2420,16549,232,5203
3/7/2020,2530,17570,121,1466
3/8/2020,2889,19229,408,2380
3/9/2020,3429,21373,694,3404
3/10/2020,4717,23633,2184,3764
3/11/2020,6490,26247,2128,4044
3/12/2020,8196,28661,2340,3786
3/13/2020,9469,29767,1550,3136
3/14/2020,10799,30517,1552,2255
3/15/2020,15946,34640,5373,6199
3/16/2020,18507,35741,3102,3730
3/17/2020,22125,37565,5656,4971
3/18/2020,27489,39650,6338,4007
3/19/2020,28902,41914,3756,4202
3/20/2020,31165,44598,4544,5107
3/21/2020,32321,44836,2786,1716
3/22/2020,34138,46445,3717,3615
3/23/2020,31331,46512,2704,2728
3/24/2020,28997,45823,3094,2645
3/25/2020,22774,43980,2783,2143
3/26/2020,20715,42248,2149,2836
3/27/2020,15587,39899,1524,2048
3/28/2020,14044,38060,833,601
3/29/2020,13280,36006,1696,985
3/30/2020,12770,31866,1798,378
3/31/2020,12936,28507,2204,485
4/1/2020,13353,25204,2555,181
4/2/2020,12922,22003,1320,264
4/3/2020,12079,18046,1198,433
4/4/2020,11708,16299,815,130
4/5/2020,12473,13831,1696,128
4/6/2020,11923,11863,1074,471
4/7/2020,10903,9736,710,222
4/8/2020,9535,8402,533,161
4/9/2020,7551,6750,26,75
4/10/2020,6951,4270,1199,29
4/11/2020,6545,3218,438,60
4/12/2020,7028,2975,1027,53
4/13/2020,6416,2285,700,42
4/14/2020,5907,2007,584,48
4/15/2020,5541,1888,569,35
4/16/2020,5632,1782,952,41
4/17/2020,5405,1371,580,59
4/18/2020,5410,1285,438,70
4/19/2020,5871,1219,808,44
4/20/2020,5717,1071,696,54
4/21/2020,5344,958,498,114
4/22/2020,4804,693,472,74
4/23/2020,4627,715,419,93
4/24/2020,4923,785,622,85
4/25/2020,4738,748,413,27
4/26/2020,4863,742,495,45
4/27/2020,4603,804,469,98
4/28/2020,4154,815,292,81
4/29/2020,3783,805,207,15
4/30/2020,3799,830,416,47
5/1/2020,3504,849,260,52
5/2/2020,3223,804,261,15>
5/3/2020,3295,783,384,68
