test_date,age_60_and_above,females,males,nulls
2020-04-30,No,2729,2874,78
2020-04-30,Yes,1006,625,4
2020-04-29,No,1491,1713,45
2020-04-29,Yes,561,446,4
2020-04-28,No,2352,2654,80
2020-04-28,Yes,749,492,7
2020-04-27,No,2562,2861,100
2020-04-27,Yes,947,823,13
2020-04-26,No,2159,2547,41
2020-04-26,Yes,841,542,1
2020-04-25,No,1739,1910,56
2020-04-25,Yes,801,540,6
2020-04-24,No,2447,2674,87
2020-04-24,Yes,1100,713,8
2020-04-23,No,3194,3662,134
2020-04-23,Yes,1001,745,8
2020-04-22,No,3451,3940,297
2020-04-22,Yes,1124,821,14
2020-04-21,No,3513,3755,178
2020-04-21,Yes,1218,954,6
2020-04-20,No,3841,3933,152
2020-04-20,Yes,1900,1081,14
2020-04-19,No,3518,3631,209
2020-04-19,Yes,1797,1015,29
2020-04-18,No,1877,2143,43
2020-04-18,Yes,1455,796,7
2020-04-17,No,2614,2577,99
2020-04-17,Yes,1458,880,17
2020-04-16,No,3150,3205,114
2020-04-16,Yes,1640,1008,21
2020-04-15,No,2422,2616,22
2020-04-15,Yes,1312,744,33
2020-04-14,No,2306,2545,59
2020-04-14,Yes,1003,651,7
2020-04-13,No,3078,2936,529
2020-04-13,Yes,1072,783,27
2020-04-12,No,2008,2070,248
2020-04-12,Yes,890,613,155
2020-04-11,No,1467,1634,112
2020-04-11,Yes,666,452,10
2020-04-10,No,1887,2433,100
2020-04-10,Yes,708,520,30
2020-04-09,No,1570,2117,205
2020-04-09,Yes,313,313,21
2020-04-08,No,1427,1848,124
2020-04-08,Yes,332,318,9
2020-04-07,No,2301,2521,133
2020-04-07,Yes,470,497,9
2020-04-06,No,2107,2317,80
2020-04-06,Yes,467,391,6
2020-04-05,No,2808,3230,166
2020-04-05,Yes,708,579,18
2020-04-04,No,1925,2241,82
2020-04-04,Yes,488,400,9
2020-04-03,No,3060,3752,217
2020-04-03,Yes,473,547,30
2020-04-02,No,3345,3490,93
2020-04-02,Yes,644,605,11
2020-04-01,No,3499,3521,185
2020-04-01,Yes,742,678,29
2020-03-31,No,2911,3082,81
2020-03-31,Yes,514,537,10
2020-03-30,No,2479,2615,48
2020-03-30,Yes,361,410,2
2020-03-29,No,2233,2259,52
2020-03-29,Yes,336,393,4
2020-03-28,No,2249,2377,132
2020-03-28,Yes,426,415,3
2020-03-27,No,2444,2549,79
2020-03-27,Yes,452,437,2
2020-03-26,No,2809,2518,402
2020-03-26,Yes,473,450,11
2020-03-25,No,2360,2225,107
2020-03-25,Yes,393,410,0
2020-03-24,No,2030,1956,93
2020-03-24,Yes,327,327,2
2020-03-23,No,1430,1360,101
2020-03-23,Yes,305,292,6
2020-03-22,No,1629,1331,54
2020-03-22,Yes,276,271,4
2020-03-21,No,668,724,25
2020-03-21,Yes,112,119,0
2020-03-20,No,806,745,39
2020-03-20,Yes,130,148,2
2020-03-19,No,1007,895,26
2020-03-19,Yes,156,157,2
2020-03-18,No,883,823,40
2020-03-18,Yes,113,130,2
2020-03-17,No,653,589,10
2020-03-17,Yes,114,97,0
2020-03-16,No,559,532,35
2020-03-16,Yes,86,92,0
2020-03-15,No,408,384,35
2020-03-15,Yes,76,80,2
2020-03-14,No,240,250,5
2020-03-14,Yes,67,47,0
2020-03-13,No,285,267,20
2020-03-13,Yes,57,53,4
2020-03-12,No,256,256,11
2020-03-12,Yes,54,54,3
2020-03-11,No,125,123,4
2020-03-11,Yes,18,24,0
