test_date,age_60_and_above,male,female,NULL
2020-03-11,NULL,8,12,3
2020-03-11,No,115,113,1
2020-03-11,Yes,24,18,0
2020-03-12,NULL,15,12,6
2020-03-12,No,241,245,5
2020-03-12,Yes,54,54,3
2020-03-13,NULL,16,17,13
2020-03-13,No,251,268,7
2020-03-13,Yes,53,57,4
2020-03-14,NULL,19,19,4
2020-03-14,No,231,223,1
2020-03-14,Yes,47,67,0
2020-03-15,NULL,31,46,17
2020-03-15,No,353,362,18
2020-03-15,Yes,80,77,2
2020-03-16,NULL,92,89,17
2020-03-16,No,443,469,18
2020-03-16,Yes,92,86,0
2020-03-17,NULL,53,54,6
2020-03-17,No,536,604,4
2020-03-17,Yes,97,114,0
2020-03-18,NULL,45,42,17
2020-03-18,No,779,844,23
2020-03-18,Yes,130,113,2
2020-03-19,NULL,53,51,16
2020-03-19,No,842,957,9
2020-03-19,Yes,158,156,2
2020-03-20,NULL,62,78,14
2020-03-20,No,684,730,25
2020-03-20,Yes,148,130,2
2020-03-21,NULL,46,42,7
2020-03-21,No,682,628,18
2020-03-21,Yes,119,112,0
2020-03-22,NULL,99,87,18
2020-03-22,No,1235,1544,36
2020-03-22,Yes,271,276,4
2020-03-23,NULL,60,70,42
2020-03-23,No,1302,1361,59
2020-03-23,Yes,292,306,5
2020-03-24,NULL,103,87,38
2020-03-24,No,1858,1949,55
2020-03-24,Yes,327,327,2
2020-03-25,NULL,127,101,35
2020-03-25,No,2102,2262,71
2020-03-25,Yes,410,393,0
2020-03-26,NULL,101,94,93
2020-03-26,No,2426,2719,309
2020-03-26,Yes,450,473,11
2020-03-27,NULL,88,83,35
2020-03-27,No,2465,2368,44
2020-03-27,Yes,437,452,2
2020-03-28,NULL,109,119,41
2020-03-28,No,2281,2150,91
2020-03-28,Yes,415,426,3
2020-03-29,NULL,122,106,25
2020-03-29,No,2143,2132,27
2020-03-29,Yes,393,336,4
2020-03-30,NULL,111,120,23
2020-03-30,No,2507,2365,25
2020-03-30,Yes,410,361,2
2020-03-31,NULL,139,112,17
2020-03-31,No,2950,2802,64
2020-03-31,Yes,537,514,10
2020-04-01,NULL,107,121,41
2020-04-01,No,3420,3379,144
2020-04-01,Yes,678,742,29
2020-04-02,NULL,136,132,26
2020-04-02,No,3358,3216,67
2020-04-02,Yes,606,646,10
2020-04-03,NULL,226,194,16
2020-04-03,No,3527,2868,202
2020-04-03,Yes,547,474,30
2020-04-04,NULL,144,167,22
2020-04-04,No,2097,1759,60
2020-04-04,Yes,401,487,9
2020-04-05,NULL,117,88,34
2020-04-05,No,3114,2721,130
2020-04-05,Yes,577,710,18
2020-04-06,NULL,143,95,10
2020-04-06,No,2172,2013,70
2020-04-06,Yes,391,467,6
2020-04-07,NULL,136,134,14
2020-04-07,No,2386,2166,119
2020-04-07,Yes,497,471,9
2020-04-08,NULL,93,77,46
2020-04-08,No,1755,1351,78
2020-04-08,Yes,318,332,9
2020-04-09,NULL,84,72,21
2020-04-09,No,2034,1504,184
2020-04-09,Yes,313,314,21
2020-04-10,NULL,108,96,20
2020-04-10,No,2322,1791,80
2020-04-10,Yes,520,709,30
2020-04-11,NULL,86,104,13
2020-04-11,No,1551,1354,98
2020-04-11,Yes,451,667,10
2020-04-12,NULL,190,192,101
2020-04-12,No,1871,1838,140
2020-04-12,Yes,622,906,154
2020-04-13,NULL,189,243,359
2020-04-13,No,2744,2835,166
2020-04-13,Yes,786,1076,27
2020-04-14,NULL,171,211,25
2020-04-14,No,2381,2107,32
2020-04-14,Yes,663,1029,7
2020-04-15,NULL,152,211,6
2020-04-15,No,2500,2277,16
2020-04-15,Yes,779,1349,33
2020-04-16,NULL,205,354,46
2020-04-16,No,3040,2826,64
2020-04-16,Yes,992,1605,21
2020-04-17,NULL,179,257,24
2020-04-17,No,2352,2312,74
2020-04-17,Yes,893,1528,17
2020-04-18,NULL,157,225,12
2020-04-18,No,1974,1628,31
2020-04-18,Yes,763,1360,7
2020-04-19,NULL,316,510,81
2020-04-19,No,3410,3087,145
2020-04-19,Yes,1074,2014,29
2020-04-20,NULL,361,469,32
2020-04-20,No,3625,3412,121
2020-04-20,Yes,1090,1788,14
2020-04-21,NULL,203,240,100
2020-04-21,No,3534,3242,78
2020-04-21,Yes,911,1153,5
2020-04-22,NULL,247,251,75
2020-04-22,No,3697,3204,215
2020-04-22,Yes,813,1107,14
2020-04-23,NULL,273,315,30
2020-04-23,No,3386,2873,103
2020-04-23,Yes,745,1001,8
2020-04-24,NULL,203,338,19
2020-04-24,No,2468,2107,68
2020-04-24,Yes,712,1102,8
2020-04-25,NULL,121,222,14
2020-04-25,No,1787,1517,41
2020-04-25,Yes,540,801,6
2020-04-26,NULL,241,278,27
2020-04-26,No,2306,1881,14
2020-04-26,Yes,541,841,1
2020-04-27,NULL,231,222,16
2020-04-27,No,2620,2334,83
2020-04-27,Yes,817,934,13
2020-04-28,NULL,248,298,12
2020-04-28,No,2411,2058,68
2020-04-28,Yes,495,748,7
2020-04-29,NULL,167,161,3
2020-04-29,No,1546,1329,41
2020-04-29,Yes,443,565,3
2020-04-30,NULL,382,384,29
2020-04-30,No,2653,2417,48
2020-04-30,Yes,630,1020,4
2020-05-01,NULL,228,316,2
2020-05-01,No,1962,2009,89
2020-05-01,Yes,602,802,2
2020-05-02,NULL,99,93,2
2020-05-02,No,683,733,37
2020-05-02,Yes,196,266,14
2020-05-03,NULL,185,318,27
2020-05-03,No,1565,1863,4
2020-05-03,Yes,612,1125,7
